,date,mp_10yr
6439,1953-10-08,0.10741599711870498
6440,1953-10-09,0.10591093193781509
6441,1953-10-13,0.10502522181218654
6442,1953-10-14,0.10603268240067543
6443,1953-10-15,0.10812167939309236
6444,1953-10-16,0.10911712039747501
6445,1953-10-19,0.10829854111737869
6446,1953-10-20,0.10675052020330966
6447,1953-10-21,0.10515448546224593
6448,1953-10-22,0.10574347973994813
6449,1953-10-23,0.10645759584585335
6450,1953-10-26,0.10763039905456973
6451,1953-10-27,0.10729256183257108
6452,1953-10-28,0.10880895749475417
6453,1953-10-29,0.11098753523508975
6454,1953-10-30,0.1103150629553904
6455,1953-11-02,0.11015935816115907
6456,1953-11-04,0.10904421935767439
6457,1953-11-05,0.11082237732188305
6458,1953-11-06,0.11129090656503804
6459,1953-11-09,0.11349722058428902
6460,1953-11-10,0.11377700141320712
6461,1953-11-12,0.11367677343359373
6462,1953-11-13,0.11447483993077401
6463,1953-11-16,0.11341833193750128
6464,1953-11-17,0.11186593006124634
6465,1953-11-18,0.11103083045201778
6466,1953-11-19,0.11148265645661115
6467,1953-11-20,0.11092691671441002
6468,1953-11-23,0.1098557963793898
6469,1953-11-24,0.11225646919652155
6470,1953-11-25,0.11170312192483944
6471,1953-11-27,0.11275327280829295
6472,1953-11-30,0.11285932201193538
6473,1953-12-01,0.11203544161636803
6474,1953-12-02,0.11353595846394349
6475,1953-12-03,0.11433148991228737
6476,1953-12-04,0.11425257318678494
6477,1953-12-07,0.11594698626653455
6478,1953-12-08,0.11679281603243985
6479,1953-12-09,0.1178361884259651
6480,1953-12-10,0.1220536455181147
6481,1953-12-11,0.12133746250082278
6482,1953-12-14,0.11929164140251469
6483,1953-12-15,0.12112079761344585
6484,1953-12-16,0.1233323838238285
6485,1953-12-17,0.12391698734095824
6486,1953-12-18,0.12525300234716363
6487,1953-12-21,0.12454512608102464
6488,1953-12-22,0.12125915387321973
6489,1953-12-23,0.12021782528607061
6490,1953-12-24,0.12150524039581012
6491,1953-12-28,0.12177008001508871
6492,1953-12-29,0.12201082422542475
6493,1953-12-30,0.12572983457906184
6494,1953-12-31,0.12560589535768774
6495,1954-01-04,0.12489244446804393
6496,1954-01-05,0.12454812833288953
6497,1954-01-06,0.1246559781422163
6498,1954-01-07,0.12340691625418154
6499,1954-01-08,0.1211168652677459
6500,1954-01-11,0.11855501340568719
6501,1954-01-12,0.12038489617035397
6502,1954-01-13,0.12043784524184731
6503,1954-01-14,0.12134948279875135
6504,1954-01-15,0.1233159661197527
6505,1954-01-18,0.12345152124748582
6506,1954-01-19,0.12419128793573808
6507,1954-01-20,0.12377928743502165
6508,1954-01-21,0.12289982033941094
6509,1954-01-22,0.12369090035294583
6510,1954-01-25,0.12432824955207522
6511,1954-01-26,0.1254671860073373
6512,1954-01-27,0.12468004224269458
6513,1954-01-28,0.12501671819458293
6514,1954-01-29,0.126933493222114
6515,1954-02-01,0.1263656435821321
6516,1954-02-02,0.12294331317241225
6517,1954-02-03,0.12378150068665428
6518,1954-02-04,0.1251054704476784
6519,1954-02-05,0.12362758699571841
6520,1954-02-08,0.12140099260457293
6521,1954-02-09,0.12170469726026156
6522,1954-02-10,0.12178683453014472
6523,1954-02-11,0.12155855861592135
6524,1954-02-12,0.12096844665032114
6525,1954-02-15,0.12155594489591759
6526,1954-02-16,0.12052862975940215
6527,1954-02-17,0.12015124072373817
6528,1954-02-18,0.11959948281704058
6529,1954-02-19,0.12037970956321509
6530,1954-02-23,0.11967510718920638
6531,1954-02-24,0.11967024345134658
6532,1954-02-25,0.11989459266522551
6533,1954-02-26,0.12152921245501669
6534,1954-03-01,0.1222838013615184
6535,1954-03-02,0.12435722749308242
6536,1954-03-03,0.12463087719407273
6537,1954-03-04,0.12421358293811924
6538,1954-03-05,0.12433699812197418
6539,1954-03-08,0.1241788156948076
6540,1954-03-09,0.12495785357146127
6541,1954-03-10,0.12670501565737147
6542,1954-03-11,0.12883492473583646
6543,1954-03-12,0.12939540694031515
6544,1954-03-15,0.12710315074316103
6545,1954-03-16,0.1270384607684072
6546,1954-03-17,0.12628542315053415
6547,1954-03-18,0.12709511865436252
6548,1954-03-19,0.1275803819050123
6549,1954-03-22,0.12634346237415084
6550,1954-03-23,0.12559771802461017
6551,1954-03-24,0.12369365309326374
6552,1954-03-25,0.1246170981464203
6553,1954-03-26,0.12575375796838428
6554,1954-03-29,0.1249784080936378
6555,1954-03-30,0.12488376899245779
6556,1954-03-31,0.12750600758804276
6557,1954-04-01,0.1276497363852842
6558,1954-04-02,0.12884710077038775
6559,1954-04-05,0.1284512103476645
6560,1954-04-06,0.12681138542455606
6561,1954-04-07,0.12713592657692252
6562,1954-04-08,0.12834563179000624
6563,1954-04-09,0.12724569495080829
6564,1954-04-12,0.12701444079286217
6565,1954-04-13,0.12782841316601967
6566,1954-04-14,0.12879428340308574
6567,1954-04-15,0.1274273286274732
6568,1954-04-19,0.12663775888290085
6569,1954-04-20,0.12577346390243394
6570,1954-04-21,0.12498995113209199
6571,1954-04-22,0.12495572387421094
6572,1954-04-23,0.1269966872988717
6573,1954-04-26,0.12691041279086623
6574,1954-04-27,0.1261772178822005
6575,1954-04-28,0.12820168049899072
6576,1954-04-29,0.13026517118795256
6577,1954-04-30,0.1311299383701876
6578,1954-05-03,0.13246192125594614
6579,1954-05-04,0.13327643487579355
6580,1954-05-05,0.13223315187324336
6581,1954-05-06,0.13364189758309353
6582,1954-05-07,0.1352651429637297
6583,1954-05-10,0.1349523443774825
6584,1954-05-11,0.13406567515253953
6585,1954-05-12,0.13456572145023182
6586,1954-05-13,0.13337499556762933
6587,1954-05-14,0.13475156483365747
6588,1954-05-17,0.13606713838691387
6589,1954-05-18,0.13653289605247054
6590,1954-05-19,0.13578832809445784
6591,1954-05-20,0.13649548392068622
6592,1954-05-21,0.1403635541882109
6593,1954-05-24,0.14098041589588273
6594,1954-05-25,0.13930770728079644
6595,1954-05-26,0.14039334395535907
6596,1954-05-27,0.14153042272800564
6597,1954-05-28,0.1420405184251916
6598,1954-06-01,0.14104749590870336
6599,1954-06-02,0.1401722975510007
6600,1954-06-03,0.1392740327481241
6601,1954-06-04,0.1377381138889231
6602,1954-06-07,0.1372499577132209
6603,1954-06-08,0.13246240919622387
6604,1954-06-09,0.13163272290782224
6605,1954-06-10,0.13178037585928415
6606,1954-06-11,0.13302990286194816
6607,1954-06-14,0.13339198444019473
6608,1954-06-15,0.13459346052576326
6609,1954-06-16,0.13565130154141491
6610,1954-06-17,0.1364193386601147
6611,1954-06-18,0.13700786808706944
6612,1954-06-21,0.1369806402981093
6613,1954-06-22,0.13599358820148444
6614,1954-06-23,0.13600078119576198
6615,1954-06-24,0.13645976206517352
6616,1954-06-25,0.13598338991601966
6617,1954-06-28,0.13588834374504088
6618,1954-06-29,0.13605190929211664
6619,1954-06-30,0.13508861471063294
6620,1954-07-01,0.13481757624829083
6621,1954-07-02,0.1362821429313208
6622,1954-07-06,0.1370428957255554
6623,1954-07-07,0.1376847077728558
6624,1954-07-08,0.13781688252989932
6625,1954-07-09,0.13985511115240135
6626,1954-07-12,0.13866500950632266
6627,1954-07-13,0.13824999290007645
6628,1954-07-14,0.13930307156865918
6629,1954-07-15,0.1395803592233087
6630,1954-07-16,0.1351116993404935
6631,1954-07-19,0.13349517399583832
6632,1954-07-20,0.13246790618181548
6633,1954-07-21,0.13260369964693752
6634,1954-07-22,0.1327532799973743
6635,1954-07-23,0.13130612861344848
6636,1954-07-26,0.13121364902445642
6637,1954-07-27,0.13256340076806894
6638,1954-07-28,0.13313774599614003
6639,1954-07-29,0.13398057571825106
6640,1954-07-30,0.13397718123303193
6641,1954-08-02,0.13405444262963861
6642,1954-08-03,0.13461783124021043
6643,1954-08-04,0.13458370510166717
6644,1954-08-05,0.13338374598629854
6645,1954-08-06,0.12966465344216704
6646,1954-08-09,0.1273921006409755
6647,1954-08-10,0.12936636656283085
6648,1954-08-11,0.13087664041178204
6649,1954-08-12,0.12881529603285458
6650,1954-08-13,0.12975498355335158
6651,1954-08-16,0.1312646508940878
6652,1954-08-17,0.1322498987311711
6653,1954-08-18,0.13196623934739327
6654,1954-08-19,0.1339458534992526
6655,1954-08-20,0.1357130241570399
6656,1954-08-23,0.13346695429733613
6657,1954-08-24,0.13415853869208627
6658,1954-08-25,0.13526790023268953
6659,1954-08-26,0.13586633314503738
6660,1954-08-27,0.1350541837981849
6661,1954-08-30,0.1337767615354355
6662,1954-08-31,0.13096595396498234
6663,1954-09-01,0.13301335334482678
6664,1954-09-02,0.13413585574454
6665,1954-09-03,0.1344743175938954
6666,1954-09-07,0.1349455978170504
6667,1954-09-08,0.13607468314270554
6668,1954-09-09,0.1378898731913869
6669,1954-09-10,0.13769077339971725
6670,1954-09-13,0.13983348113557725
6671,1954-09-14,0.13989240533940062
6672,1954-09-15,0.138639294134157
6673,1954-09-16,0.138885068885785
6674,1954-09-17,0.13993393600467297
6675,1954-09-20,0.13932889498352075
6676,1954-09-21,0.13970272500117042
6677,1954-09-22,0.1397644873392796
6678,1954-09-23,0.13992498681196874
6679,1954-09-24,0.14180938936385012
6680,1954-09-27,0.1436154563793708
6681,1954-09-28,0.1441681272115507
6682,1954-09-29,0.1442268726836453
6683,1954-09-30,0.14364090580257516
6684,1954-10-01,0.1435351009880188
6685,1954-10-04,0.14393742127807885
6686,1954-10-05,0.14436336001292105
6687,1954-10-06,0.14566459255746533
6688,1954-10-07,0.14478961474901575
6689,1954-10-08,0.14571637323983166
6690,1954-10-11,0.14841988459350408
6691,1954-10-12,0.14828297479158126
6692,1954-10-13,0.1484956774780557
6693,1954-10-14,0.14554850645564343
6694,1954-10-15,0.1438645633928941
6695,1954-10-18,0.1460749893363622
6696,1954-10-19,0.14742475311548597
6697,1954-10-20,0.1474298512723864
6698,1954-10-21,0.14615316593973238
6699,1954-10-22,0.14469392598853226
6700,1954-10-25,0.14355200814080482
6701,1954-10-26,0.1439683065455004
6702,1954-10-27,0.14398610986129334
6703,1954-10-28,0.14182032969561553
6704,1954-10-29,0.1411687476871959
6705,1954-11-01,0.14173930073894114
6706,1954-11-03,0.1456421182808818
6707,1954-11-04,0.1469290049121088
6708,1954-11-05,0.1455878177079497
6709,1954-11-08,0.14715753210757998
6710,1954-11-09,0.14689983711385968
6711,1954-11-10,0.14601491806757472
6712,1954-11-11,0.14720620888829505
6713,1954-11-12,0.14857560759558663
6714,1954-11-15,0.14770948065620093
6715,1954-11-16,0.1471746208611051
6716,1954-11-17,0.14734051269703485
6717,1954-11-18,0.14729176877543582
6718,1954-11-19,0.14669692354250552
6719,1954-11-22,0.14644489133046346
6720,1954-11-23,0.1490499161723915
6721,1954-11-24,0.15023124279227007
6722,1954-11-26,0.1546563575037312
6723,1954-11-29,0.1542129031255457
6724,1954-11-30,0.15275901485627297
6725,1954-12-01,0.15283626485689727
6726,1954-12-02,0.15350222808176128
6727,1954-12-03,0.15488177531399305
6728,1954-12-06,0.15592409416354536
6729,1954-12-07,0.1560346617097803
6730,1954-12-08,0.15482950388720074
6731,1954-12-09,0.15413891673525382
6732,1954-12-10,0.15260127258556877
6733,1954-12-13,0.15299871995108738
6734,1954-12-14,0.15144943940792333
6735,1954-12-15,0.15233546100694917
6736,1954-12-16,0.15553498019842027
6737,1954-12-17,0.16237171825108576
6738,1954-12-20,0.160002093872617
6739,1954-12-21,0.1601022884854335
6740,1954-12-22,0.16017206778377546
6741,1954-12-23,0.15964685908075982
6742,1954-12-27,0.15703276293293333
6743,1954-12-28,0.15861766149678425
6744,1954-12-29,0.16099875139253284
6745,1954-12-30,0.16046648361786087
6746,1954-12-31,0.16172172244293792
6747,1955-01-03,0.16439801259219267
6748,1955-01-04,0.16314220439516292
6749,1955-01-05,0.1593755434914832
6750,1955-01-06,0.15566557690303706
6751,1955-01-07,0.15639755902349073
6752,1955-01-10,0.1585744933859432
6753,1955-01-11,0.15766596921822407
6754,1955-01-12,0.15590222640476248
6755,1955-01-13,0.15417014262859774
6756,1955-01-14,0.1538383474401228
6757,1955-01-17,0.15103066867648152
6758,1955-01-18,0.15157717439744078
6759,1955-01-19,0.1506895452354684
6760,1955-01-20,0.15250050842474638
6761,1955-01-21,0.15346233451158975
6762,1955-01-24,0.15497137501326264
6763,1955-01-25,0.15530110200359237
6764,1955-01-26,0.1572427453004015
6765,1955-01-27,0.15857426020123078
6766,1955-01-28,0.16027502496744228
6767,1955-01-31,0.16062868856752321
6768,1955-02-01,0.158729146137764
6769,1955-02-02,0.15759046848521785
6770,1955-02-03,0.15504972380365012
6771,1955-02-04,0.15718478599654273
6772,1955-02-07,0.1575524075080148
6773,1955-02-08,0.15379209360845691
6774,1955-02-09,0.15499340970472564
6775,1955-02-10,0.15525954399929165
6776,1955-02-11,0.15569254702799906
6777,1955-02-14,0.15500591932965269
6778,1955-02-15,0.1561048241202696
6779,1955-02-16,0.15567892729148425
6780,1955-02-17,0.15488052543755537
6781,1955-02-18,0.15583890000229106
6782,1955-02-21,0.15725646092899503
6783,1955-02-23,0.15886147436669584
6784,1955-02-24,0.15908046204867587
6785,1955-02-25,0.15833839445988396
6786,1955-02-28,0.15819211646279263
6787,1955-03-01,0.15687181867809774
6788,1955-03-02,0.1573266645920599
6789,1955-03-03,0.15894424036091648
6790,1955-03-04,0.15984983170221523
6791,1955-03-07,0.1583975444232142
6792,1955-03-08,0.15400931660623862
6793,1955-03-09,0.15113499302070754
6794,1955-03-10,0.1518235856751693
6795,1955-03-11,0.14857637363644516
6796,1955-03-14,0.14458566900873637
6797,1955-03-15,0.14910833150139857
6798,1955-03-16,0.14768654792023428
6799,1955-03-17,0.14749132370618478
6800,1955-03-18,0.14657341968915327
6801,1955-03-21,0.14574937926861753
6802,1955-03-22,0.14546082431338436
6803,1955-03-23,0.14702636179409279
6804,1955-03-24,0.14857061571498353
6805,1955-03-25,0.14905239418582772
6806,1955-03-28,0.14928471031779078
6807,1955-03-29,0.14807161990760886
6808,1955-03-30,0.14541053766675782
6809,1955-03-31,0.14544609266500053
6810,1955-04-01,0.1481624939006383
6811,1955-04-04,0.14679901853019994
6812,1955-04-05,0.14665583447221087
6813,1955-04-06,0.14738688450154913
6814,1955-04-07,0.15114985705514616
6815,1955-04-11,0.15513755630936577
6816,1955-04-12,0.15405683241513612
6817,1955-04-13,0.1542720038231402
6818,1955-04-14,0.15438095711111743
6819,1955-04-15,0.15441034610412485
6820,1955-04-18,0.1555315747220598
6821,1955-04-19,0.15625643908623754
6822,1955-04-20,0.15878562514246908
6823,1955-04-21,0.16053371864653676
6824,1955-04-22,0.15929110743732733
6825,1955-04-25,0.15898986444733687
6826,1955-04-26,0.16414961538694506
6827,1955-04-27,0.16225749840753023
6828,1955-04-28,0.15898255025768648
6829,1955-04-29,0.15985239184060518
6830,1955-05-02,0.15822321733377054
6831,1955-05-03,0.1564721017498445
6832,1955-05-04,0.15643840720967783
6833,1955-05-05,0.15844672170741392
6834,1955-05-06,0.15752051339734296
6835,1955-05-09,0.15720060359044097
6836,1955-05-10,0.15623097202072778
6837,1955-05-11,0.15191155238849507
6838,1955-05-12,0.15103997520130652
6839,1955-05-13,0.1503261513245755
6840,1955-05-16,0.14505848007657707
6841,1955-05-17,0.14459587666876583
6842,1955-05-18,0.14437658004617582
6843,1955-05-19,0.1468861435143256
6844,1955-05-20,0.14821315000013424
6845,1955-05-23,0.14545493023166878
6846,1955-05-24,0.14456329368489929
6847,1955-05-25,0.14551128257930124
6848,1955-05-26,0.14694416028682977
6849,1955-05-27,0.1466046622655921
6850,1955-05-31,0.14492730904862228
6851,1955-06-01,0.14569809880097262
6852,1955-06-02,0.14613435560498522
6853,1955-06-03,0.14657597799901056
6854,1955-06-06,0.15173370144228637
6855,1955-06-07,0.15275009395245043
6856,1955-06-08,0.1493223967593893
6857,1955-06-09,0.15009348821696644
6858,1955-06-10,0.15325188892303387
6859,1955-06-13,0.15482028348734134
6860,1955-06-14,0.15491023525468428
6861,1955-06-15,0.15525945186040557
6862,1955-06-16,0.15543235239761577
6863,1955-06-17,0.15510076750578716
6864,1955-06-20,0.1541290166296898
6865,1955-06-21,0.15622637869106848
6866,1955-06-22,0.15670465269961276
6867,1955-06-23,0.15856206788693283
6868,1955-06-24,0.15942009760692222
6869,1955-06-27,0.15850896193652497
6870,1955-06-28,0.15488583779574716
6871,1955-06-29,0.15407146346209677
6872,1955-06-30,0.15615561289905955
6873,1955-07-01,0.15657871446387905
6874,1955-07-05,0.15838329009272978
6875,1955-07-06,0.1646101934929316
6876,1955-07-07,0.16304686036042382
6877,1955-07-08,0.1631648373452117
6878,1955-07-11,0.1640428535524847
6879,1955-07-12,0.16448772095062636
6880,1955-07-13,0.16213236662621044
6881,1955-07-14,0.16137630477388654
6882,1955-07-15,0.1612935250542089
6883,1955-07-18,0.16056981758385258
6884,1955-07-19,0.1596433868739675
6885,1955-07-20,0.1599326326639814
6886,1955-07-21,0.16077867863994344
6887,1955-07-22,0.16130528064901983
6888,1955-07-25,0.16295622995180414
6889,1955-07-26,0.1625654651392976
6890,1955-07-27,0.16303471419410442
6891,1955-07-28,0.16224689855067598
6892,1955-07-29,0.1657210286909898
6893,1955-08-01,0.1653305866124446
6894,1955-08-02,0.16389895905914575
6895,1955-08-03,0.16412384103741595
6896,1955-08-04,0.1631651325493142
6897,1955-08-05,0.16338352279671442
6898,1955-08-08,0.1609180308470901
6899,1955-08-09,0.15801638387717487
6900,1955-08-10,0.15852145309111698
6901,1955-08-11,0.1596333445499396
6902,1955-08-12,0.16038736846088342
6903,1955-08-15,0.16144649124030264
6904,1955-08-16,0.16391717809580442
6905,1955-08-17,0.16464502847470497
6906,1955-08-18,0.16323620339663036
6907,1955-08-19,0.16395085531666487
6908,1955-08-22,0.16550562533764568
6909,1955-08-23,0.16743938076524878
6910,1955-08-24,0.16604097765442782
6911,1955-08-25,0.170241137538236
6912,1955-08-26,0.17015836735926326
6913,1955-08-29,0.16827285807737735
6914,1955-08-30,0.16741043102862618
6915,1955-08-31,0.16819384794762504
6916,1955-09-01,0.1696183460329359
6917,1955-09-02,0.16980957869392044
6918,1955-09-06,0.1703463439295383
6919,1955-09-07,0.17260019372852664
6920,1955-09-08,0.17235373565738987
6921,1955-09-09,0.16958410463095186
6922,1955-09-12,0.17084484460941085
6923,1955-09-13,0.1751304972137464
6924,1955-09-14,0.17479214855523906
6925,1955-09-15,0.17479854606414835
6926,1955-09-16,0.17864457182830584
6927,1955-09-19,0.17818662724580814
6928,1955-09-20,0.17688247611452734
6929,1955-09-21,0.17446098145202726
6930,1955-09-22,0.17216128695577781
6931,1955-09-23,0.17056709075187704
6932,1955-09-26,0.1588427440189657
6933,1955-09-27,0.1628764797117872
6934,1955-09-28,0.1651368864337821
6935,1955-09-29,0.16230421876433532
6936,1955-09-30,0.16091736068646134
6937,1955-10-03,0.15615529572362719
6938,1955-10-04,0.15517885018847033
6939,1955-10-05,0.15593599034332306
6940,1955-10-06,0.15426285199390088
6941,1955-10-07,0.1519403432217128
6942,1955-10-10,0.14636472279312662
6943,1955-10-11,0.1449405880690815
6944,1955-10-12,0.1487945905617143
6945,1955-10-13,0.15193535088710974
6946,1955-10-14,0.1479105089298347
6947,1955-10-17,0.14684599028011447
6948,1955-10-18,0.14741370483695881
6949,1955-10-19,0.14990747514385827
6950,1955-10-20,0.15237219607612507
6951,1955-10-21,0.15214913237505767
6952,1955-10-24,0.15349464419258574
6953,1955-10-25,0.15302103590016092
6954,1955-10-26,0.14968116752750404
6955,1955-10-27,0.1469639145581838
6956,1955-10-28,0.1470682956973377
6957,1955-10-31,0.14724255151475352
6958,1955-11-01,0.1469955586089453
6959,1955-11-02,0.146443945296028
6960,1955-11-03,0.1487068528073916
6961,1955-11-04,0.15106378963971712
6962,1955-11-07,0.15116790022896032
6963,1955-11-09,0.15309520978823143
6964,1955-11-10,0.15339453728240815
6965,1955-11-11,0.15532625146066747
6966,1955-11-14,0.15894038751429806
6967,1955-11-15,0.15760202079448793
6968,1955-11-16,0.15780533574455125
6969,1955-11-17,0.15541514441953796
6970,1955-11-18,0.1565219328139631
6971,1955-11-21,0.15785918832858492
6972,1955-11-22,0.1586576274484699
6973,1955-11-23,0.15804867426996805
6974,1955-11-25,0.15982347799248942
6975,1955-11-28,0.15788636889101593
6976,1955-11-29,0.15577815814329288
6977,1955-11-30,0.1533742018076667
6978,1955-12-01,0.15287284642140264
6979,1955-12-02,0.1523988330712247
6980,1955-12-05,0.15137076325138432
6981,1955-12-06,0.1519411111741642
6982,1955-12-07,0.15118528021348476
6983,1955-12-08,0.15274579174710423
6984,1955-12-09,0.15386947298351172
6985,1955-12-12,0.15086767684708335
6986,1955-12-13,0.15174521336741065
6987,1955-12-14,0.14847853125156418
6988,1955-12-15,0.1476547781676938
6989,1955-12-16,0.15030807428573856
6990,1955-12-19,0.15155299771149222
6991,1955-12-20,0.150390464617433
6992,1955-12-21,0.15161084916017176
6993,1955-12-22,0.15090867246979567
6994,1955-12-23,0.1515187714788735
6995,1955-12-27,0.1489159943887366
6996,1955-12-28,0.1458621254543644
6997,1955-12-29,0.1464075336625401
6998,1955-12-30,0.14770344072935782
6999,1956-01-03,0.14566208391421354
7000,1956-01-04,0.1446807201541851
7001,1956-01-05,0.14315981351385187
7002,1956-01-06,0.14421950207140966
7003,1956-01-09,0.14442816595538654
7004,1956-01-10,0.1438735863479823
7005,1956-01-11,0.14449238764691175
7006,1956-01-12,0.14941149562281608
7007,1956-01-13,0.1475287100920184
7008,1956-01-16,0.14554417678210907
7009,1956-01-17,0.14783848969739366
7010,1956-01-18,0.14680065815672338
7011,1956-01-19,0.14090444899270937
7012,1956-01-20,0.14023405552455048
7013,1956-01-23,0.13951264048497247
7014,1956-01-24,0.14108896311402508
7015,1956-01-25,0.1423866694634539
7016,1956-01-26,0.14119697129975028
7017,1956-01-27,0.14114658787300205
7018,1956-01-30,0.140936316231695
7019,1956-01-31,0.13851276339968366
7020,1956-02-01,0.13686628298877412
7021,1956-02-02,0.13646143813561662
7022,1956-02-03,0.13798511546986925
7023,1956-02-06,0.13626433117833492
7024,1956-02-07,0.13520971146100758
7025,1956-02-08,0.13339577146346482
7026,1956-02-09,0.13188105782251092
7027,1956-02-10,0.1321487129232506
7028,1956-02-13,0.13693496160894436
7029,1956-02-14,0.13520352827102866
7030,1956-02-15,0.13560319838888124
7031,1956-02-16,0.13431277462784186
7032,1956-02-17,0.137197191083267
7033,1956-02-20,0.1321107959070711
7034,1956-02-21,0.13206153223994743
7035,1956-02-23,0.13444965486219673
7036,1956-02-24,0.13569911443448346
7037,1956-02-27,0.1348833411488699
7038,1956-02-28,0.13562585456012877
7039,1956-02-29,0.13457933515625942
7040,1956-03-01,0.13643768534343592
7041,1956-03-02,0.13740378755838178
7042,1956-03-05,0.1384705193373288
7043,1956-03-06,0.1411468976767012
7044,1956-03-07,0.14338668695154055
7045,1956-03-08,0.14275990811135042
7046,1956-03-09,0.1416300827762087
7047,1956-03-12,0.14368184580160626
7048,1956-03-13,0.14956733972638614
7049,1956-03-14,0.15433259998304782
7050,1956-03-15,0.15257383137959546
7051,1956-03-16,0.16074217151428183
7052,1956-03-19,0.1632996571070764
7053,1956-03-20,0.16085609160848646
7054,1956-03-21,0.15737614926050458
7055,1956-03-22,0.15974979029852165
7056,1956-03-23,0.16129063409979438
7057,1956-03-26,0.1587892772758852
7058,1956-03-27,0.15827973496827075
7059,1956-03-28,0.1577101359530435
7060,1956-03-29,0.15614750573058678
7061,1956-04-02,0.15794791366201655
7062,1956-04-03,0.15696382322611946
7063,1956-04-04,0.16048399737334917
7064,1956-04-05,0.16026651036095774
7065,1956-04-06,0.15935422742330285
7066,1956-04-09,0.155704891270541
7067,1956-04-10,0.15449421674434083
7068,1956-04-11,0.1545608207043736
7069,1956-04-12,0.15240494774358182
7070,1956-04-13,0.1521484086793019
7071,1956-04-16,0.14868797795233912
7072,1956-04-17,0.14866269153541434
7073,1956-04-18,0.14900311733018134
7074,1956-04-19,0.14858284696506474
7075,1956-04-20,0.14821356372645633
7076,1956-04-23,0.14763324047289372
7077,1956-04-24,0.14616886896356163
7078,1956-04-25,0.14271689408784094
7079,1956-04-26,0.14230879105573724
7080,1956-04-27,0.14439486213321495
7081,1956-04-30,0.14501334668290133
7082,1956-05-01,0.14193378741119123
7083,1956-05-02,0.14256642133985187
7084,1956-05-03,0.14348752458285485
7085,1956-05-04,0.1440550033807495
7086,1956-05-07,0.14437363905370937
7087,1956-05-08,0.14145058066568805
7088,1956-05-09,0.14142312724498796
7089,1956-05-10,0.1381975660705841
7090,1956-05-11,0.1382173514703533
7091,1956-05-14,0.13764246893650056
7092,1956-05-15,0.13756640468594195
7093,1956-05-16,0.13738640183891948
7094,1956-05-17,0.13902011607096432
7095,1956-05-18,0.13698601482681716
7096,1956-05-21,0.13520135336904526
7097,1956-05-22,0.13301773182203913
7098,1956-05-23,0.13292217639356596
7099,1956-05-24,0.13278665421625435
7100,1956-05-25,0.13462393465179057
7101,1956-05-28,0.13045302807077896
7102,1956-05-29,0.1345481193218292
7103,1956-05-31,0.1351280293717252
7104,1956-06-01,0.13382348871388516
7105,1956-06-04,0.134344910336736
7106,1956-06-05,0.13541703607076627
7107,1956-06-06,0.13581220960652263
7108,1956-06-07,0.13612033435914173
7109,1956-06-08,0.1334230293576555
7110,1956-06-11,0.13513054680575753
7111,1956-06-12,0.13710357346322422
7112,1956-06-13,0.13624615053779143
7113,1956-06-14,0.1360181714429236
7114,1956-06-15,0.1362181323609548
7115,1956-06-18,0.134270666478308
7116,1956-06-19,0.13200713932601293
7117,1956-06-20,0.1322409975220986
7118,1956-06-21,0.1339556924267633
7119,1956-06-22,0.13456367719311557
7120,1956-06-25,0.13495072033356337
7121,1956-06-26,0.13699197469276547
7122,1956-06-27,0.13830031501841877
7123,1956-06-28,0.138409597643248
7124,1956-06-29,0.13757439350927614
7125,1956-07-02,0.1391679917567641
7126,1956-07-03,0.1401705096432515
7127,1956-07-05,0.14085883616549855
7128,1956-07-06,0.14176155337409968
7129,1956-07-09,0.14229350023897314
7130,1956-07-10,0.14556344236459107
7131,1956-07-11,0.14704555601770197
7132,1956-07-12,0.15035276848433332
7133,1956-07-13,0.14897106938649585
7134,1956-07-16,0.1500256548443255
7135,1956-07-17,0.1517728219008332
7136,1956-07-18,0.15199977982733626
7137,1956-07-19,0.14947642501199399
7138,1956-07-20,0.14920070034123056
7139,1956-07-23,0.14812570626674804
7140,1956-07-24,0.14820040955659386
7141,1956-07-25,0.1489152363720332
7142,1956-07-26,0.14957483803011828
7143,1956-07-27,0.14884672770485907
7144,1956-07-30,0.14765528118972204
7145,1956-07-31,0.14869327977159585
7146,1956-08-01,0.1503584966561342
7147,1956-08-02,0.15150301603404337
7148,1956-08-03,0.15441679584324608
7149,1956-08-06,0.1519336145618042
7150,1956-08-07,0.15167681441426506
7151,1956-08-08,0.1526224038546331
7152,1956-08-09,0.15303227354564775
7153,1956-08-10,0.1527080259538791
7154,1956-08-13,0.15599519916575288
7155,1956-08-14,0.15379650521431731
7156,1956-08-15,0.1563712293524473
7157,1956-08-16,0.15502932552656956
7158,1956-08-17,0.1542441787627018
7159,1956-08-20,0.15134032520184704
7160,1956-08-21,0.14821359877518336
7161,1956-08-22,0.14611114890048738
7162,1956-08-23,0.14804033768370428
7163,1956-08-24,0.14887218769223587
7164,1956-08-27,0.14832068246893693
7165,1956-08-28,0.1464157670385362
7166,1956-08-29,0.14493752012975092
7167,1956-08-30,0.14400706889974546
7168,1956-08-31,0.14573449148784734
7169,1956-09-04,0.1456701084812282
7170,1956-09-05,0.14637865451575327
7171,1956-09-06,0.14855746320637064
7172,1956-09-07,0.14892651879502705
7173,1956-09-10,0.14832160739758415
7174,1956-09-11,0.14674493867692062
7175,1956-09-12,0.14714961701115747
