,date,mp_10yr
280,1929-02-13,
281,1929-02-14,
282,1929-02-15,
283,1929-02-18,
284,1929-02-19,
285,1929-02-20,
286,1929-02-21,
287,1929-02-25,
288,1929-02-26,
289,1929-02-27,
290,1929-02-28,
291,1929-03-01,
292,1929-03-04,
293,1929-03-05,
294,1929-03-06,
295,1929-03-07,
296,1929-03-08,
297,1929-03-11,
298,1929-03-12,
299,1929-03-13,
300,1929-03-14,
301,1929-03-15,
302,1929-03-18,
303,1929-03-19,
304,1929-03-20,
305,1929-03-21,
306,1929-03-22,
307,1929-03-25,
308,1929-03-26,
309,1929-03-27,
310,1929-03-28,
311,1929-04-01,
312,1929-04-02,
313,1929-04-03,
314,1929-04-04,
315,1929-04-05,
316,1929-04-08,
317,1929-04-09,
318,1929-04-10,
319,1929-04-11,
320,1929-04-12,
321,1929-04-15,
322,1929-04-16,
323,1929-04-17,
324,1929-04-18,
325,1929-04-19,
326,1929-04-22,
327,1929-04-23,
328,1929-04-24,
329,1929-04-25,
330,1929-04-26,
331,1929-04-29,
332,1929-04-30,
333,1929-05-01,
334,1929-05-02,
335,1929-05-03,
336,1929-05-06,
337,1929-05-07,
338,1929-05-08,
339,1929-05-09,
340,1929-05-10,
341,1929-05-13,
342,1929-05-14,
343,1929-05-15,
344,1929-05-16,
345,1929-05-17,
346,1929-05-20,
347,1929-05-21,
348,1929-05-22,
349,1929-05-23,
350,1929-05-24,
351,1929-05-27,
352,1929-05-28,
353,1929-05-29,
354,1929-05-31,
355,1929-06-03,
356,1929-06-04,
357,1929-06-05,
358,1929-06-06,
359,1929-06-07,
360,1929-06-10,
361,1929-06-11,
362,1929-06-12,
363,1929-06-13,
364,1929-06-14,
365,1929-06-17,
366,1929-06-18,
367,1929-06-19,
368,1929-06-20,
369,1929-06-21,
370,1929-06-24,
371,1929-06-25,
372,1929-06-26,
373,1929-06-27,
374,1929-06-28,
375,1929-07-01,
376,1929-07-02,
377,1929-07-03,
378,1929-07-05,
379,1929-07-08,
380,1929-07-09,
381,1929-07-10,
382,1929-07-11,
383,1929-07-12,
384,1929-07-15,
385,1929-07-16,
386,1929-07-17,
387,1929-07-18,
388,1929-07-19,
389,1929-07-22,
390,1929-07-23,
391,1929-07-24,
392,1929-07-25,
393,1929-07-26,
394,1929-07-29,
395,1929-07-30,
396,1929-07-31,
397,1929-08-01,
398,1929-08-02,
399,1929-08-05,
400,1929-08-06,
401,1929-08-07,
402,1929-08-08,
403,1929-08-09,
404,1929-08-12,
405,1929-08-13,
406,1929-08-14,
407,1929-08-15,
408,1929-08-16,
409,1929-08-19,
410,1929-08-20,
411,1929-08-21,
412,1929-08-22,
413,1929-08-23,
414,1929-08-26,
415,1929-08-27,
416,1929-08-28,
417,1929-08-29,
418,1929-08-30,
419,1929-09-03,
420,1929-09-04,
421,1929-09-05,
422,1929-09-06,
423,1929-09-09,
424,1929-09-10,
425,1929-09-11,
426,1929-09-12,
427,1929-09-13,
428,1929-09-16,
429,1929-09-17,
430,1929-09-18,
431,1929-09-19,
432,1929-09-20,
433,1929-09-23,
434,1929-09-24,
435,1929-09-25,
436,1929-09-26,
437,1929-09-27,
438,1929-09-30,
439,1929-10-01,
440,1929-10-02,
441,1929-10-03,
442,1929-10-04,
443,1929-10-07,
444,1929-10-08,
445,1929-10-09,
446,1929-10-10,
447,1929-10-11,
448,1929-10-14,
449,1929-10-15,
450,1929-10-16,
451,1929-10-17,
452,1929-10-18,
453,1929-10-21,
454,1929-10-22,
455,1929-10-23,
456,1929-10-24,
457,1929-10-25,
458,1929-10-28,
459,1929-10-29,
460,1929-10-30,
461,1929-10-31,
462,1929-11-04,
463,1929-11-06,
464,1929-11-07,
465,1929-11-08,
466,1929-11-11,
467,1929-11-12,
468,1929-11-13,
469,1929-11-14,
470,1929-11-15,
471,1929-11-18,
472,1929-11-19,
473,1929-11-20,
474,1929-11-21,
475,1929-11-22,
476,1929-11-25,
