,mean_ret,std_error_ret,tstat_ret,mean_ct,std_error_ct,tstat_ct,mean_chg,std_error_chg,tstat_chg
sp,0.050065392521472664,0.005372631316058015,9.318598201934027,0.11964461163999023,0.010623157346674758,11.262622564603278,0.3147741331565354,0.026801114594502292,11.744815016801763
tang,-0.8756295760445042,0.1118731532246698,-7.8269857495302455,-0.2504827458471449,0.08368979536016266,-2.992990301495918,-0.7476818326230418,0.2483708555334221,-3.010344474665747
tb,0.025528088490322322,0.008428524074266992,3.0287732781427024,-0.13003599224333331,0.012608440126417425,-10.313408394657767,-0.12833100523367377,0.033466885271547946,-3.834566742390427
cash,-0.5488875527925136,0.1273792514111428,-4.309081319852209,-0.18121883548399292,0.10587419194175685,-1.7116431508037806,-1.5564330971472198,0.3623565312887926,-4.295308522828216
chtx,-6.793466829529924,1.1136948632432109,-6.099935497364644,-10.921993462942925,2.4295599400531582,-4.495461619565539,-5.710483753904143,5.572354579151184,-1.0247882960050254
cinvest,-0.05152183637693599,0.014774854474517917,-3.4871298709435905,0.027686274943044646,0.020265309062312976,1.366190609672581,0.3386395088456272,0.10399235918618645,3.256388368296673
nincr,0.14672304070276904,0.038729525115428404,3.7884027822566826,-0.04162767079236863,0.011666065337090106,-3.5682699855984104,-0.0009717655227057855,0.028056199402695284,-0.03463639207712612
roaq,-6.569581835056762,0.5055774298648392,-12.994215024221058,-19.643420409429325,3.211628689273383,-6.116342301660521,-20.695746029853332,1.924892255988919,-10.751638677678004
roavol,3.2418873468630593,1.871936966020027,1.7318357432492606,9.126522719696867,3.9419910896960495,2.315206328992635,50.27760429368319,11.390884134008992,4.413845642022883
roeq,-2.191343500044283,0.1830857264283005,-11.968947786339044,-8.566500098711398,1.0220660707332783,-8.381552175551027,-6.270380527194563,0.732124973588011,-8.564631385902015
rsup,-0.5430735453115425,0.10748636780220829,-5.0524876448600695,-0.8059572235714855,0.20857257076286992,-3.86415730804696,0.7997583670667282,0.4795722165356396,1.6676494998898541
ms,-0.11772483793576959,0.008782366489505106,-13.404682903685504,-0.18182309243696476,0.013070720032340078,-13.91071738872006,-0.40291913712209926,0.0409189980403122,-9.846749833052
ill,17275.771069891085,2346.955124713303,7.36092943916064,71193.22244476271,9300.957118950791,7.654397449022297,90832.25844828252,9774.037278602227,9.293217926141605
std_turn,0.015495230385737005,0.004807598340706712,3.2230709155830235,0.05498692469123876,0.02826907870406582,1.9451261665393513,0.17402138449306734,0.016128574062879146,10.789632351541089
