,mean_ret,std_error_ret,tstat_ret,mean_ct,std_error_ct,tstat_ct,mean_chg,std_error_chg,tstat_chg
mvel1,6.731944354518219e-07,9.145072800752181e-08,7.361280222902673,8.006404623404995e-08,5.611121020803679e-09,14.268814722977122,-2.114240264968059e-07,1.4167291350649128e-08,-14.923390877192535
beta,-1.1631159682534304,0.1634505435094878,-7.11601162822634,0.0768530731596896,0.009791375275119916,7.84905807409658,0.2666876049779547,0.024315504337487144,10.96780067879584
idiovol,-96.34847845747757,13.064067067778707,-7.375075308294462,-2.4114325042142357,0.09625021279109182,-25.05378881029777,19.899464926383594,0.7201808284333908,27.63120613703491
indmom,5.940699801118452,1.2951580798551083,4.586853059499153,0.15558098328839184,0.021967940026612454,7.082183541102059,-0.6647135802339582,0.08513428313947743,-7.807824952785975
mom1m,2.678130309145326,1.1403181820766124,2.348581607519607,0.27159184838858025,0.043098589506667326,6.301641225325139,-0.9279055344871964,0.10504281900105034,-8.833593227138335
mom6m,3.3276438148684764,0.7095121505897922,4.690044859841124,0.3248953452466504,0.0461044958162113,7.04693413288364,-0.8586192360639344,0.057926317163079166,-14.822610483705972
mom12m,3.842247968890533,0.6802587679366899,5.6482152821705665,0.23546455428412177,0.03298409905044826,7.138729298744383,-0.7441822981343648,0.041739282400150485,-17.82930264588549
mom36m,1.578353068803921,0.27620300163278455,5.714467473102851,0.11229952903970672,0.021833424472072316,5.143468409335049,-0.3445082538808868,0.017930338155351725,-19.213706450821192
pricedelay,-1.0579818833766947,0.165277713581695,-6.401237410957683,-0.03604468225173344,0.007285883481712462,-4.947194440071056,0.01186774417279643,0.017748730967169352,0.668653110735001
age,0.7456228259548756,0.10289725997285881,7.246284557543596,0.00843253962598233,0.0008243522776417633,10.229291353576919,-0.045162927206840994,0.0025413739924847007,-17.771066887595403
agr,1.2154505000089042,0.2554885751880189,4.757357541778262,-0.4295022580655778,0.07837128908876662,-5.480352091428603,0.5689171428490283,0.034967452339547685,16.26990543447717
bm,-0.07450957727254831,0.013296607398613202,-5.603653250702089,-0.09421509484518159,0.02748323493657182,-3.4280933471849044,0.015406124824659966,0.0028096686357181634,5.483253302118345
bm_ia,0.013683181992745017,0.001790034925865751,7.644086601342229,0.006577628836021252,0.0019447541790101309,3.3822417799709927,0.008197191833342441,0.0021005264919504375,3.9024462984663257
cashpr,0.018134535955640987,0.0036506853993660787,4.967433227412569,0.0004556129729809243,0.00015998282341120405,2.8478868122602243,-0.0007669490591072202,0.00042053181628615735,-1.8237598902275158
cfp,3.5018352254151757,0.356968472731367,9.809928587308175,0.0077779285549367675,0.03333526513882886,0.2333243345311524,-0.49363306020338565,0.0767039901157433,-6.435559081848451
cfp_ia,2.9377730696674487,0.44621324231547466,6.5837872816657255,-0.021858085592705623,0.04097133476619081,-0.5334970343886069,-0.03175052463502321,0.04741143771622479,-0.669680696566554
chatoia,0.0189144445571881,0.1517765257371172,0.12462035525802355,-0.277362489620991,0.104980576948634,-2.6420362478737554,0.2850519149821099,0.03553151450922361,8.022509564238064
chcsho,-3.512242335085176,0.6211019623073106,-5.65485628484841,-0.4232741174993446,0.29667769861267623,-1.4267136339490913,-0.2193887052701099,0.04839158777720976,-4.533612459259541
depr,-3.090801439636161,0.36554945697405095,-8.455220984928356,0.004359274535569043,0.0954674183786991,0.0456624323732807,1.8611851493116367,0.12567142603484455,14.809931008466407
divi,-3.9297379879288052,0.6010930191126569,-6.53765367917589,-0.030712321779992023,0.013949504281028742,-2.2016783651416656,0.1165327748477861,0.02962912182030484,3.9330485579200047
egr,-0.37955026720798357,0.16344681345580267,-2.322163761917677,-0.15933760255615417,0.08329711641969109,-1.9128825751102163,-0.29554771886460035,0.030601313889338608,-9.658007493840588
ep,9.248691113087183,1.2464769684492985,7.4198652259039966,0.5925036227568657,0.1620518637904743,3.656259230211299,-2.009958046493098,0.10752963857802691,-18.692130589043213
grcapx,-0.3009161872177331,0.045645600932809484,-6.592446611902054,-0.06039376778606661,0.02250844359945501,-2.683160544584651,0.01784149270072485,0.007793678368189868,2.2892261981897324
hire,-2.1370974964042966,0.34390677553241894,-6.214176772457452,0.4541247053934934,0.12208330105840047,3.7197937920785393,-0.19142145816381448,0.0355717239269244,-5.381281451443142
invest,0.8894741842379147,0.42177686035706174,2.1088738331565096,-0.028370879804469295,0.12632066989599464,-0.2245941208816284,-0.3538147337843064,0.09438200865700717,-3.7487518947610172
lev,-0.4254647391149669,0.08404740226167783,-5.062199754732472,0.0580980899536919,0.01493908013593694,3.8890004889881493,0.022884259243309904,0.004414551759232555,5.183823973849658
mve_ia,0.00023743645598055818,4.447972825610872e-05,5.338082431921093,4.3705835386990244e-05,3.0084600200497504e-06,14.52764374321567,-0.00013864147297067527,1.1369594844352134e-05,-12.194055713387682
orgcap,-57.533284100889816,8.37406024894007,-6.8704167859518295,-2.4433017646083535,1.2404602575142267,-1.969673554479299,13.406315464970083,1.1385567295373746,11.77483309981174
pchcurrat,-0.745197565633723,0.1658504646269113,-4.493189496394123,-0.05207831786383257,0.0087462917535946,-5.954331198982601,0.026345416135501645,0.01648348032081963,1.598292085332598
pchdepr,-1.5828088233291027,0.23848525099495935,-6.636925414572313,0.06258598442613517,0.048442910765115754,1.291953423888888,0.1975935558749926,0.027849849579462516,7.09495953689837
pctacc,0.11133369852877509,0.023771222720226557,4.683549510225362,0.024638105733832582,0.010787288287783007,2.283994371573079,0.001991238703712285,0.002634052613462098,0.7559601101114973
