,mean_ret,std_error_nw_ret,tstat_nw_ret,mean_ct,std_error_nw_ct,tstat_nw_ct,mean_chg,std_error_nw_chg,tstat_nw_chg,mean_misp,std_error_nw_misp,tstat_nw_misp
roeq,0.34695694455031106,0.11369685306405783,3.0515967258551333,1.2109673619849992,0.27186873788676913,4.454235420364353,-1.6146508561305415,0.44949971928643884,-3.5921064838343595,0.7273881559372982,0.19705449739087122,3.6913045150878925
rsup,0.16202446572358473,0.04101065213892388,3.950789789314388,1.1965664872801562,0.3556525385237296,3.364425549293021,-1.161078085506188,0.5555421950956239,-2.089990815740531,0.2918445705383637,0.06450324885049888,4.5244941260986815
stdacc,-0.03917054289450448,0.011010759099507142,-3.557478875026683,0.006070519727888158,0.004161891315002672,1.4585964092827974,-0.03847149879286431,0.015640899972536294,-2.4596729638586043,0.005211016438338536,0.005464416890699418,0.9536271742384488
stdcf,-0.038603340529876816,0.010729135678368452,-3.597991645096533,0.005759860958658753,0.0033634893735214294,1.7124659301743015,-0.03555339247403607,0.01451987683340298,-2.448601519280486,0.006856186177808746,0.005207662691378218,1.3165572703393054
ms,0.011920954899770398,0.0040771189671890895,2.923867318002037,-0.049293478192213025,0.036344213582419765,-1.3562950834092888,-0.148263235975436,0.043287672634902664,-3.42506831508174,0.1283867315786993,0.007305160736130269,17.574798997059307
baspread,-1.439272210634781,0.3545985975102104,-4.058877335501414,-17.398098792354407,4.77119082813815,-3.646489821733587,10.643420128215485,3.520333589978155,3.0234123716330905,4.08982224382999,1.8136516857429388,2.255020782645289
ill,3495.3374181304666,2849.0884186790818,1.2268265860808223,80535.38702765778,50374.42520681066,1.5987356023820067,197176.42162154955,89426.10247913632,2.204909038359936,-172261.61372629413,18051.324794637007,-9.54287930033105
maxret,-1.051907852659232,0.18346786025001954,-5.73347207094339,-4.642616472140699,1.2218163756294178,-3.799766122588641,2.8179923833007545,1.1311370593494305,2.4912917139515462,1.197920432400271,0.2951062397163112,4.059285339245434
retvol,-3.8317010233016493,0.7207417443007048,-5.316330091327419,-19.449839199738367,5.112564243286326,-3.8043217208036735,8.74962950957063,3.052631242088355,2.866258259083028,4.861508220530119,1.226621663298608,3.963331454180128
std_dolvol,0.01813683363307767,0.025168354404523027,0.720620559515734,0.524622380448824,0.2483896638113656,2.112094249007228,1.9259279644070189,0.8957734040246236,2.150016908019383,-1.4941814326083638,0.08434871918268898,-17.71433457539705
std_turn,-0.009918736073162546,0.0018442183147100563,-5.378287371970898,-0.02118192087264344,0.0068718587673015415,-3.082415048084757,0.044526438280292624,0.021355885725854416,2.08497267928283,0.014235316288794802,0.00267533830116354,5.32094063864883
zerotrade,-0.001275505807707484,0.0040310134685616035,-0.3164231074034654,0.15808595576625586,0.06213304583936405,2.5443136358543263,0.5683921432196654,0.3050721718537062,1.8631399244511595,-0.34664194273628907,0.030485648491827135,-11.370659962481032
